# Accelerometer Data File
# Started @Fri Feb 08 08:53:39 EET 2019
#
#
# sensor Vendor: MTK
# sensor Name: ACCELEROMETER
# sensor Resolution: 0.00390625m/sec^2; Max Range: 32.0; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: MEDIUM
-0.964 2.895 8.55 0
-0.868 2.605 7.419 10
-1.057 2.345 6.539 10
-0.952 2.11 5.885 12
-0.856 2.175 5.296 8
-0.494 2.096 5.18 10
0.244 1.886 4.939 10
0.495 1.697 4.445 10
0.583 1.527 3.724 10
0.524 1.375 3.076 10
0.747 1.789 2.63 10
0.673 1.748 2.367 10
0.33 1.573 2.13 9
0.159 1.415 1.917 15
-0.131 1.274 1.725 5
-0.393 0.871 1.553 11
-0.354 0.646 1.397 10
-0.319 0.582 1.534 10
-0.563 0.523 1.518 9
-0.644 0.471 1.643 11
-0.58 0.147 1.754 10
-0.522 -0.142 1.716 10
-0.47 -0.127 1.544 10
-0.009 -0.115 1.39 9
0.267 -0.103 1.251 11
0.24 -0.093 0.85 10
0.216 -0.083 0.903 10
0.194 -0.351 0.813 15
0.175 -0.592 0.731 11
0.157 -0.532 0.933 4
-0.133 -0.479 0.979 9
-0.396 -0.431 0.881 11
-0.356 -0.802 0.793 12
-0.321 -0.859 0.713 7
0.125 -0.773 0.642 11
0.387 -0.696 0.578 10
0.624 -0.626 0.52 10
0.699 -0.288 0.468 2
0.629 -0.259 0.421 10
0.566 -0.233 0.379 10
0.51 -0.21 0.065 0
0.459 -0.189 -0.354 10
0.413 -0.17 -0.319 7
0.371 -0.153 -0.701 13
0.059 -0.138 -0.907 7
-0.084 -0.124 -1.091 11
-0.075 -0.111 -1.12 13
-0.068 -0.1 -1.008 6
-0.061 -0.09 -0.907 13
-0.055 -0.081 -0.541 8
-0.049 -0.073 -0.21 10
-0.044 -0.066 0.085 10
